resource_id,resource_pref_id,res,reslabel,res_np,res_np_date,resourcetype,qualification_np
http://purl.org/np/RA6lJGt5TRNo9XpCM5XcNKlhEDlGWTvZ6iUyhff0bfwX4#RDA_CTS,http://purl.org/np/RA6lJGt5TRNo9XpCM5XcNKlhEDlGWTvZ6iUyhff0bfwX4#RDA_CTS,RDA_CTS,RDA CTS | RDA Core Trust Seal Certification,http://purl.org/np/RA6lJGt5TRNo9XpCM5XcNKlhEDlGWTvZ6iUyhff0bfwX4,2022-07-29T14:16:18+00:00,https://w3id.org/fair/fip/terms/FAIR-Enabling-Resource,
http://purl.org/np/RA6lJGt5TRNo9XpCM5XcNKlhEDlGWTvZ6iUyhff0bfwX4#RDA_CTS,http://purl.org/np/RA6lJGt5TRNo9XpCM5XcNKlhEDlGWTvZ6iUyhff0bfwX4#RDA_CTS,RDA_CTS,RDA CTS | RDA Core Trust Seal Certification,http://purl.org/np/RATeQzbXaxtaF3zCgISMqrqw235tCKG43eN2Z7g4Pws24,2023-01-17T23:03:49.849000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAP19dqKOsbuRkD3GGe7-RWXBB6rgfZDnDC9v7rn7Teg8
http://purl.org/np/RAB-YR9Z7jf46oxQr1YvxikQ7j6stCgrYnVvDeLTGzATw#DANUBIUS_MLP,http://purl.org/np/RAdpoTYtxnYTEOQPYzlOMkCyzfkA3EZDr-AdGwJCLupNo#DANUBIUS_MLP,DANUBIUS_MLP,DANUBIUS Longetivity Plan,http://purl.org/np/RAdpoTYtxnYTEOQPYzlOMkCyzfkA3EZDr-AdGwJCLupNo,2023-04-25T02:57:36+00:00,https://w3id.org/fair/fip/terms/FAIR-Enabling-Resource,
http://purl.org/np/RAB-YR9Z7jf46oxQr1YvxikQ7j6stCgrYnVvDeLTGzATw#DANUBIUS_MLP,http://purl.org/np/RAEy1U4nP535HMsGzlWvnTuXh-feShBnh3jLgTJEtBCgg#DANUBIUS_MLP,DANUBIUS_MLP,DANUBIUS Preservation Policy,http://purl.org/np/RAEy1U4nP535HMsGzlWvnTuXh-feShBnh3jLgTJEtBCgg,2023-01-14T21:15:23.902000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAVTN7z_Euu2pFFr0wi_LhON3vMucP02Kw8FtT4XUJhfc
http://purl.org/np/RAB4llFCaB5JfM6HELBW1lG0g_Kl0zpAfAn_G4mIoJIh0#EBAS,http://purl.org/np/RAB4llFCaB5JfM6HELBW1lG0g_Kl0zpAfAn_G4mIoJIh0#EBAS,EBAS,EBAS database,http://purl.org/np/RAB4llFCaB5JfM6HELBW1lG0g_Kl0zpAfAn_G4mIoJIh0,2022-02-20T13:39:56+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
http://purl.org/np/RAB4llFCaB5JfM6HELBW1lG0g_Kl0zpAfAn_G4mIoJIh0#EBAS,http://purl.org/np/RAB4llFCaB5JfM6HELBW1lG0g_Kl0zpAfAn_G4mIoJIh0#EBAS,EBAS,EBAS database,http://purl.org/np/RAb46QdxA7M25zf6DsGaHUjmesDMZJB89jHu378D7V12w,2023-01-09T09:27:02.539000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAd1KLXs_6jOHMoBCbEeOa_NofgtfabnAAWHPE_NgmXmM
http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,NVS_Voc,NVS | NERC Vocabulary Service,http://purl.org/np/RALo5hCkjUypW1--FowBTySxAtHqnyD4GqgcYio9EuOVI,2023-01-08T15:57:55.842000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAj8VHjuxKP3KOuJ1ymtqvhrEiQ4RtfucYG2HPmzo_V9U
http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,NVS_Voc,NVS | NERC Vocabularies,https://w3id.org/np/RAMNJRKZqvGaczJgI4gqwx7M9ubk7qEq155NamlN0MyZI,2024-02-20T17:14:00.922000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE#dirac-fc,http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE#dirac-fc,dirac-fc,DIRAC File Catalogue,http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE,2022-02-10T13:33:52+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE#dirac-fc,http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE#dirac-fc,dirac-fc,DIRAC File Catalogue,https://w3id.org/np/RAODjjumvy2AlZ4e_0PCuhMNYZyWTCWettN-YpPPFmoKo,2025-04-21T08:17:15+00:00,https://w3id.org/fair/fip/terms/FAIR-Enabling-Resource,
http://purl.org/np/RAPreo6Y1pC6vzPxJgnYoO5jpqNw2U_AnDablh5mzQkM0#EPOS_Portal,http://purl.org/np/RAPreo6Y1pC6vzPxJgnYoO5jpqNw2U_AnDablh5mzQkM0#EPOS_Portal,EPOS_Portal,EPOS ICS Data Portal,http://purl.org/np/RAAbc3ODdIzxJ4w7VRr9OsiZ3Wg-fepoU7bZyJFHi1QHM,2022-07-20T17:13:53.682000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAPIAXAhDqW5usjNfYHuGHP4tpM_vyK9zbthMTX6KsXNQ
http://purl.org/np/RAPreo6Y1pC6vzPxJgnYoO5jpqNw2U_AnDablh5mzQkM0#EPOS_Portal,http://purl.org/np/RAPreo6Y1pC6vzPxJgnYoO5jpqNw2U_AnDablh5mzQkM0#EPOS_Portal,EPOS_Portal,EPOS ICS Data Portal,http://purl.org/np/RAHsht1nMDPfDQLqOXG93Zuk43Svb9aetzmVoJtLsa5AY,2023-04-25T04:15:25+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
http://purl.org/np/RARwTPZPVcTQKNrHUgFsDBUcdlTZSt_40_SkaylE_Y27A#DwC,http://purl.org/np/RARwTPZPVcTQKNrHUgFsDBUcdlTZSt_40_SkaylE_Y27A#DwC,DwC,Darwin Core,http://purl.org/np/RARwTPZPVcTQKNrHUgFsDBUcdlTZSt_40_SkaylE_Y27A,2022-01-23T14:26:19.808000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAY3x9cBGYDeD8f9pmhWxxBB6pQ-TFax-r5No-Zrj1ZxA
http://purl.org/np/RARwTPZPVcTQKNrHUgFsDBUcdlTZSt_40_SkaylE_Y27A#DwC,http://purl.org/np/RARwTPZPVcTQKNrHUgFsDBUcdlTZSt_40_SkaylE_Y27A#DwC,DwC,Metadata Schema: DwC | Darwin Core,https://w3id.org/np/RA0dCOtlvUgF1Edc0vDN7iyspbpmXhvV4YLTvlwuFm6js,2023-12-18T11:40:08.870000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,https://w3id.org/np/RArQVljZ8LoW4V1nEX0V6JIneFVXbRKBANmqKdlZs6nPA
http://purl.org/np/RASprqFEVJNe7eK1OfVKRL1xo9zk_iacCmTGCvZzucGdw#EPOS_vocab,http://purl.org/np/RASprqFEVJNe7eK1OfVKRL1xo9zk_iacCmTGCvZzucGdw#EPOS_vocab,EPOS_vocab,EPOS Common Vocabulary,http://purl.org/np/RABfZVUxCG8bwscTR41aLl_O_-NbCuD39I73vRbkUFO50,2022-07-20T17:04:04.757000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAkF325KqM39HwnKxQODHSIFFTqcgLeFWS9VatZH3hoIs
http://purl.org/np/RASprqFEVJNe7eK1OfVKRL1xo9zk_iacCmTGCvZzucGdw#EPOS_vocab,http://purl.org/np/RASprqFEVJNe7eK1OfVKRL1xo9zk_iacCmTGCvZzucGdw#EPOS_vocab,EPOS_vocab,EPOS Common Vocabulary,http://purl.org/np/RAD7ROrbpDIW8xWE6TY1xP0XxTuNUB_x79Yow_RwK1Em4,2023-04-25T04:14:24+00:00,https://w3id.org/fair/fip/terms/FAIR-Enabling-Resource-to-be-Developed,
http://purl.org/np/RAUkmw0yO27WAtIrKQMVur8lCFqUQjI9E_e-h4e1gt4wc#EPOS-DCAT-AP,http://purl.org/np/RAUkmw0yO27WAtIrKQMVur8lCFqUQjI9E_e-h4e1gt4wc#EPOS-DCAT-AP,EPOS-DCAT-AP,European Plate Observing System - Data Catalogue vocabulary - Application Profile,http://purl.org/np/RAUkmw0yO27WAtIrKQMVur8lCFqUQjI9E_e-h4e1gt4wc,2022-02-17T16:22:46+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
http://purl.org/np/RAUkmw0yO27WAtIrKQMVur8lCFqUQjI9E_e-h4e1gt4wc#EPOS-DCAT-AP,http://purl.org/np/RAUkmw0yO27WAtIrKQMVur8lCFqUQjI9E_e-h4e1gt4wc#EPOS-DCAT-AP,EPOS-DCAT-AP,European Plate Observing System - Data Catalogue vocabulary - Application Profile,http://purl.org/np/RAY4NNI5VLgyjWbw_3gD00jqgHYvyEPc-NB8cA_bZIOq4,2023-04-25T04:28:43+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,
