fip_title,resource_pref_id,reslabel
INDIGEO PNDB RSI UBO,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI | Digital Object Identifier
Euro Argo FIP 2019,http://purl.org/np/RAm-5N-Essj5oekn7Qd_KgooUYAk9Szk3bBK9R3jcGnlM#NetCDF_CF1.7,NetCDF CF-1.7
LifeWatch Ecosystems FIP 2022,http://purl.org/np/RAUxmZt_R6a9RGB_BxooKts20HhxSxkkTIQpKpGAMYxgY#LWERIC-MetadataCatalogue,LifeWatch ERIC Metadata Catalogue
DiSSCo FIP 2020,http://purl.org/np/RAANOJAdT5AYQlA5SMsTOGb6aHjhyhd8o2nkSqX1UeWDU#GBIF_search_engine,GBIF search engine | Global Biodiversity Information Facility Search Engine
DANUBIUS FIP 2022,http://purl.org/np/RAw8X2gfKkN6Df_Wws3Axou4vMrejVEFumgga52D_i1nY#ISO_19115,ISO 19115 | Geographic information - Metadata
EMSO ERIC FIP 2019 bm,http://purl.org/np/RAQ__sGdY_Qc7l1O_zmn4nr-pMBOxKU04Ur9s998rS6Fc#CC-BY-4.0,CC BY 4.0 | Attribution 4.0 International
LifeWatch Ecosystems FIP 2021,http://purl.org/np/RALHHVzgBKGrMb6UuPRLBzEAbzKN8UR_zw86xaWZq46KI#FISHTRAITS,FISHTRAITS | Fish Traits Thesaurus
eLTER FIP 2021,http://purl.org/np/RANw_e-9CEfADSpQKbEVn5G7qu_jczqdJUNssOzYXEvfA#CC-BY-NC-4.0,CC BY-NC 4.0 | Attribution-NonCommercial 4.0 International
ACTRIS ARES FIP 2022,http://purl.org/np/RAGv90JSxsBhhVhdJq_6CtOrHCLBbAuMLdkhES3dkog8o#r3data,re3data | Registry of Research Data Repositories
DiSSCo FIP 2020,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,PROV-O | W3C PROV Ontology
ACTRIS CLU FIP 2021,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,Handle System
ACTRIS-ASC_FIP_2022,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,PROV-O | W3C PROV Ontology
ACTRIS ARES FIP 2021,http://purl.org/np/RAszH6lU-Zc3UO7MHPKj1Lb0dmMmaTJrRvQ0jqpXMyFY4#REST,REST | Representational state transfer
SeaDataNET CDI FIP 2021,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,HTTPS | Hypertext Transfer Protocol Secure
ICOS FIP 2019,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,HTTPS | Hypertext Transfer Protocol Secure
EPOS ICS C FIP 2021,http://purl.org/np/RAQ__sGdY_Qc7l1O_zmn4nr-pMBOxKU04Ur9s998rS6Fc#CC-BY-4.0,CC BY 4.0 | Attribution 4.0 International
WorldFAIR WP11 Oceanography,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI | Digital Object Identifier
WorldFAIR WP11 Oceanography,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,PROV-O | W3C PROV Ontology
WorldFAIR WP11 Oceanography,https://w3id.org/np/RAzhwif5PZPUB8BC-c0ZP-N2AFAkGjuYWHLEQ5hEJnKAQ#ODIS_Catalogue,ODIS: IOC Ocean Data and Information System Catalogue of Sources
WorldFAIR WP11 Oceanography,http://purl.org/np/RAILCugRZltIBCt_KATatwxJrkdDfxC3EDbCHML172BhI#JSON_Schema,JSON Schema | JavaScript Object Notation Schema
WorldFAIR WP11 Oceanography,http://purl.org/np/RAQ__sGdY_Qc7l1O_zmn4nr-pMBOxKU04Ur9s998rS6Fc#CC-BY-4.0,CC BY 4.0 | Attribution 4.0 International
WorldFAIR WP11 Oceanography,http://purl.org/np/RAfpqImxNsTJLDAV3ZvcQBOddyZf-Yhl2WHXFpGHOLe-Y#Schema.org_Dataset,Schema.org Dataset
WorldFAIR WP11 Oceanography,https://w3id.org/np/RA5RtSCnuHHEtc9br5zjy43LZfrdgIZfbdFosC7Hh6Xw4#OceanInforHub_metadata,OIH | Ocean InfoHub metadata service
WorldFAIR WP11 Oceanography,http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,NVS | NERC Vocabulary Service
WorldFAIR WP11 Oceanography,http://purl.org/np/RALBOR5frFpOCV3IDmuJDX8vJD-AhyjEsDKSOw-c8lIfk#NVS_Voc,NVS | NERC Vocabularies
WorldFAIR WP11 Oceanography,https://w3id.org/np/RA5RtSCnuHHEtc9br5zjy43LZfrdgIZfbdFosC7Hh6Xw4#OceanInforHub_metadata,OIH | Ocean InfoHub metadata service
WorldFAIR WP11 Oceanography,https://w3id.org/np/RAlJWrHr5IoakeWZPArI8o_cm8e-ICnxQbGAIFkPuaQ5I#W3ID_Identifiers,W3ID | Permanent Identifiers for the Web
WorldFAIR WP11 Oceanography,https://w3id.org/np/RAbAowLFI7EbH9ZfyF0qwZTrseIoInNjhoSPwJ4AE8kW4#OBIS_OceanBiodiversity,OBIS | Ocean Biodiversity Information System
WorldFAIR WP11 Oceanography,http://purl.org/np/RA7G8fg6dqE5NhP7QdDYI9ELM5nlQKILdbm-m24nW0AdM#PURL,PURL | Persistent Uniform Resource Locator
