"resource_id","resource_pref_id","res","reslabel","res_np","res_np_date"
"http://purl.org/np/RA-3wwSbCh32dE51jFkqg8oBYjc7bpJpWSvITfHJMiOnw#CMIP6TOU","http://purl.org/np/RA-3wwSbCh32dE51jFkqg8oBYjc7bpJpWSvITfHJMiOnw#CMIP6TOU","CMIP6TOU","CMIP6: Terms of Use","http://purl.org/np/RA-3wwSbCh32dE51jFkqg8oBYjc7bpJpWSvITfHJMiOnw",2022-09-06T13:31:00Z
"http://purl.org/np/RA-IuziXmMgdacX_lvjt-VSdlm2KAdgYd5kfIRGaekX_g#SDN_CDI_search","http://purl.org/np/RA-IuziXmMgdacX_lvjt-VSdlm2KAdgYd5kfIRGaekX_g#SDN_CDI_search","SDN_CDI_search","SDN-CDI-Search | SeaDataNet CDI search user interface","http://purl.org/np/RA-IuziXmMgdacX_lvjt-VSdlm2KAdgYd5kfIRGaekX_g",2022-07-29T12:48:33.150Z
"http://purl.org/np/RAagyqquFsK9XscfjaYa5F9TdoNFzpv-HZBgi9AqZQkWw#SDN_CDI_search_GUI","http://purl.org/np/RA-IuziXmMgdacX_lvjt-VSdlm2KAdgYd5kfIRGaekX_g#SDN_CDI_search","SDN_CDI_search","SDN-CDI-Search | SeaDataNet CDI search user interface","http://purl.org/np/RA-IuziXmMgdacX_lvjt-VSdlm2KAdgYd5kfIRGaekX_g",2022-07-29T14:48:33.150+02:00
"http://purl.org/np/RA-NGcnJpJThYiiJ1Y3rMxdx8uXVpqKOZxgUAhwfC9quk#DDI","http://purl.org/np/RA-NGcnJpJThYiiJ1Y3rMxdx8uXVpqKOZxgUAhwfC9quk#DDI","DDI","Data Documentation Initiative","http://purl.org/np/RA-NGcnJpJThYiiJ1Y3rMxdx8uXVpqKOZxgUAhwfC9quk",2020-11-13T17:44:53.779Z
"http://purl.org/np/RA-bv0kb7Y3-manpZkrRwMOBzS5XcvJcWudLDs6XqfvJo#pithia-esc","http://purl.org/np/RA-bv0kb7Y3-manpZkrRwMOBzS5XcvJcWudLDs6XqfvJo#pithia-esc","pithia-esc","PITHIA e-Science Centre","http://purl.org/np/RA-bv0kb7Y3-manpZkrRwMOBzS5XcvJcWudLDs6XqfvJo",2022-02-11T08:43:03Z
"http://purl.org/np/RA-jfSyTtRWyiQFhwKfoB499p-7sf9IfY2mZ3boRcKQUs#SDM_MD","http://purl.org/np/RA-jfSyTtRWyiQFhwKfoB499p-7sf9IfY2mZ3boRcKQUs#SDM_MD","SDM_MD","SDM MD | SeaDataNet metadata directories","http://purl.org/np/RAk-ggyV5rqTSEDmjcy9WAzQY5oXfZTamwVkcHcrTE_28",2022-07-23T17:24:43.931+02:00
"http://purl.org/np/RA-jfSyTtRWyiQFhwKfoB499p-7sf9IfY2mZ3boRcKQUs#SDM_MD","http://purl.org/np/RA-jfSyTtRWyiQFhwKfoB499p-7sf9IfY2mZ3boRcKQUs#SDM_MD","SDM_MD","SDM MD | SeaDataNet metadata directories","http://purl.org/np/RAk-ggyV5rqTSEDmjcy9WAzQY5oXfZTamwVkcHcrTE_28",2022-07-23T15:24:43.931Z
"http://purl.org/np/RA-mzxWOvd1iLF_o0bUr0dvvdTrc-pgD638bYHb63hgIc#EPOS-DCAT-AP","http://purl.org/np/RA-mzxWOvd1iLF_o0bUr0dvvdTrc-pgD638bYHb63hgIc#EPOS-DCAT-AP","EPOS-DCAT-AP","EPOS-DCAT-AP","http://purl.org/np/RA-mzxWOvd1iLF_o0bUr0dvvdTrc-pgD638bYHb63hgIc",2023-03-25T19:06:46Z
"http://purl.org/np/RA-sLf5c875omKv0SBBmU-9D42xKWtrQwx2BxzEmxH4l8#Annodata","http://purl.org/np/RA-sLf5c875omKv0SBBmU-9D42xKWtrQwx2BxzEmxH4l8#Annodata","Annodata","The Annodata Framework","http://purl.org/np/RA-sLf5c875omKv0SBBmU-9D42xKWtrQwx2BxzEmxH4l8",2022-11-07T08:19:55Z
"http://purl.org/np/RA06nT5pM6YIBIlVFvoG9kIJLBU1fdatUH4zZbNiddAM8#geoserver-rest-api","http://purl.org/np/RA06nT5pM6YIBIlVFvoG9kIJLBU1fdatUH4zZbNiddAM8#geoserver-rest-api","geoserver-rest-api","GeoServer REST API","http://purl.org/np/RA06nT5pM6YIBIlVFvoG9kIJLBU1fdatUH4zZbNiddAM8",2022-09-29T12:36:46Z
"http://purl.org/np/RA07sS8FUazuQQf8aa9cL5k7vnDhxt4p5u3FVCtJ0TsSs#FAIRSpec","http://purl.org/np/RA07sS8FUazuQQf8aa9cL5k7vnDhxt4p5u3FVCtJ0TsSs#FAIRSpec","FAIRSpec","IUPAC Standard for FAIR Data Management of Spectroscopic Data","http://purl.org/np/RA07sS8FUazuQQf8aa9cL5k7vnDhxt4p5u3FVCtJ0TsSs",2022-10-04T17:36:51Z
"http://purl.org/np/RA0baSFzFRSHKmZ9Ba1PTEzFiqHbxAdqLzhrYCL6URbDA#marineregions","http://purl.org/np/RA0baSFzFRSHKmZ9Ba1PTEzFiqHbxAdqLzhrYCL6URbDA#marineregions","marineregions","Marine Regions georeferences","http://purl.org/np/RA0baSFzFRSHKmZ9Ba1PTEzFiqHbxAdqLzhrYCL6URbDA",2020-11-03T10:26:51.160Z
"http://purl.org/np/RA0dtsAhhN63GjIwHZumvgUbufn1F7O3MPrMG9CugmXKs#wigos","http://purl.org/np/RA0dtsAhhN63GjIwHZumvgUbufn1F7O3MPrMG9CugmXKs#wigos","wigos","WIGOS","http://purl.org/np/RA0dtsAhhN63GjIwHZumvgUbufn1F7O3MPrMG9CugmXKs",2020-11-17T15:08:53.626Z
"http://purl.org/np/RA0pN5bsvvapbD4FUugB4Ssd9nYlON56Fd1k5eXupcc4o#DOIP","http://purl.org/np/RA0pN5bsvvapbD4FUugB4Ssd9nYlON56Fd1k5eXupcc4o#DOIP","DOIP","Digital Object Interface Protocol","http://purl.org/np/RA0pN5bsvvapbD4FUugB4Ssd9nYlON56Fd1k5eXupcc4o",2020-10-05T09:13:18.923Z
"http://purl.org/np/RA0rsPs4gI44FtvL0hIP0yc7mDxKtrH_p9OBBTHlmYk5E#erddap-service","http://purl.org/np/RA0rsPs4gI44FtvL0hIP0yc7mDxKtrH_p9OBBTHlmYk5E#erddap-service","erddap-service","ERDDAP","http://purl.org/np/RA0rsPs4gI44FtvL0hIP0yc7mDxKtrH_p9OBBTHlmYk5E",2020-11-24T14:37:56.512Z
"http://purl.org/np/RA0s9-5yUhXz-5ZfM3GLUHpqOqrpNQv1QNtR_Fa0rYTfM#ICPSR","http://purl.org/np/RA0s9-5yUhXz-5ZfM3GLUHpqOqrpNQv1QNtR_Fa0rYTfM#ICPSR","ICPSR","Inter university Consortium for Political and Social Research","http://purl.org/np/RA0s9-5yUhXz-5ZfM3GLUHpqOqrpNQv1QNtR_Fa0rYTfM",2022-10-09T15:33:56Z
"http://purl.org/np/RA15unSXxMGugpabdBa9gHiEGmd2pxMYUIt1ytuz3uGWY#EcoPortal","http://purl.org/np/RA15unSXxMGugpabdBa9gHiEGmd2pxMYUIt1ytuz3uGWY#EcoPortal","EcoPortal","EcoPortal","http://purl.org/np/RAOdH7dTUgiNrBAsbu4Iuco1XuHXa24yaESIaoVm7EDYk",2023-04-25T04:34:42Z
"http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID","http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID","ORCID","ORCID | Open Researcher and Contributor ID","http://purl.org/np/RAtIFnvA0nuTJjr4QEBw8j_CNW-8D7xLAC42qLxSZqDMo",2023-04-17T02:45:09.054Z
"http://purl.org/np/RA1Ra0mFnCIMEAfwTbfg0dBO6LEu45UOycBDp0f7Z4ZH4#THESOZ","http://purl.org/np/RA1Ra0mFnCIMEAfwTbfg0dBO6LEu45UOycBDp0f7Z4ZH4#THESOZ","THESOZ","Thesaurus Sozialwissenschaften (THESOZ)","http://purl.org/np/RA1Ra0mFnCIMEAfwTbfg0dBO6LEu45UOycBDp0f7Z4ZH4",2022-11-14T14:01:07Z
"http://purl.org/np/RA1Tut_b4RH2CWvynB6Byo9vju38j_gKpF-nXNqPl4NuA#eiscat-schedule","http://purl.org/np/RA1Tut_b4RH2CWvynB6Byo9vju38j_gKpF-nXNqPl4NuA#eiscat-schedule","eiscat-schedule","EISCAT Schedule","http://purl.org/np/RA2FV7zzKX2gmITj3tfCkWLcPpfgt8pZ3D6PWoP7kNAhE",2023-04-24T16:53:56Z
"http://purl.org/np/RA1Y_YJX4tnLNHg6Em6dfp8TVP9hHjYmJybiO5geRGljQ#ADA_Dataverse_FER","http://purl.org/np/RA1Y_YJX4tnLNHg6Em6dfp8TVP9hHjYmJybiO5geRGljQ#ADA_Dataverse_FER","ADA_Dataverse_FER","Australian Data Archive Dataverse FER","http://purl.org/np/RA1Y_YJX4tnLNHg6Em6dfp8TVP9hHjYmJybiO5geRGljQ",2022-12-02T11:01:20Z
"http://purl.org/np/RA1_8ta0xz10MirB5qJ-3sI5N_LtPZOtPdGyMvoi-83s8#IAGOS_MLP","http://purl.org/np/RA1_8ta0xz10MirB5qJ-3sI5N_LtPZOtPdGyMvoi-83s8#IAGOS_MLP","IAGOS_MLP","IAGOS Data Preservation Policy","http://purl.org/np/RA1_8ta0xz10MirB5qJ-3sI5N_LtPZOtPdGyMvoi-83s8",2022-02-09T15:42:24Z
"http://purl.org/np/RA1kA_6seb_Ea7QzQjZjSvZjfoEJf8r-78Zpz4_PE7Nng#NanoCommons","http://purl.org/np/RA1kA_6seb_Ea7QzQjZjSvZjfoEJf8r-78Zpz4_PE7Nng#NanoCommons","NanoCommons","NanoCommons Knowledge Base","http://purl.org/np/RA1kA_6seb_Ea7QzQjZjSvZjfoEJf8r-78Zpz4_PE7Nng",2022-10-05T10:59:17Z
"http://purl.org/np/RA1l_iHS7HKNGQJQ41c2Qydh1ZcfwTUexlBP35w4lB_oE#ARGO_MLP","http://purl.org/np/RA1l_iHS7HKNGQJQ41c2Qydh1ZcfwTUexlBP35w4lB_oE#ARGO_MLP","ARGO_MLP","Argo Metadata Longevity Plan","http://purl.org/np/RA1l_iHS7HKNGQJQ41c2Qydh1ZcfwTUexlBP35w4lB_oE",2022-01-28T08:53:44Z
"http://purl.org/np/RA24i_JSjDvLrfGD8WYPyzyFBYVWBQm3DXmVXVezZUaCk#ICD-10","http://purl.org/np/RA24i_JSjDvLrfGD8WYPyzyFBYVWBQm3DXmVXVezZUaCk#ICD-10","ICD-10","ICD10|International Classification of Diseases Version 10","http://purl.org/np/RA24i_JSjDvLrfGD8WYPyzyFBYVWBQm3DXmVXVezZUaCk",2022-01-16T22:03:49.458Z
"http://purl.org/np/RAoMSfhldvYNLY_KkFQlzoFHtI-Ey1rK6vApFsH48TrJ0#ICD-10","http://purl.org/np/RA24i_JSjDvLrfGD8WYPyzyFBYVWBQm3DXmVXVezZUaCk#ICD-10","ICD-10","ICD10|International Classification of Diseases Version 10","http://purl.org/np/RA24i_JSjDvLrfGD8WYPyzyFBYVWBQm3DXmVXVezZUaCk",2022-01-16T23:03:49.458+01:00
"http://purl.org/np/RA24ysQcpWDzK6wHANkG_3F1HiTbgOO4ULjYxjaXDi8C4#MIT","http://purl.org/np/RA24ysQcpWDzK6wHANkG_3F1HiTbgOO4ULjYxjaXDi8C4#MIT","MIT","MIT License","http://purl.org/np/RA24ysQcpWDzK6wHANkG_3F1HiTbgOO4ULjYxjaXDi8C4",2022-01-07T18:46:26.549Z
"http://purl.org/np/RA28xyUcJMFGNEbj2kCIuwQgCMKWzm1XaMJybh5UzFvtk#exif","http://purl.org/np/RA28xyUcJMFGNEbj2kCIuwQgCMKWzm1XaMJybh5UzFvtk#exif","exif","Exchangeable Image File Format (EXIF)","http://purl.org/np/RA28xyUcJMFGNEbj2kCIuwQgCMKWzm1XaMJybh5UzFvtk",2022-10-17T11:49:30Z
"http://purl.org/np/RA2LLClhEwBctdcwo1dBrromcnjeCRoawvboD0KlMKXFo#NASAAmes_Format","http://purl.org/np/RA2LLClhEwBctdcwo1dBrromcnjeCRoawvboD0KlMKXFo#NASAAmes_Format","NASAAmes_Format","NASA Ames Format | The National Aeronautics and Space Administration Ames Format for Data Exchange","http://purl.org/np/RAMPdbiX_upJ-8tXJY_YwmAphSPc932dU6F7y8w9abxaM",2023-01-08T17:49:51.786+01:00
"http://purl.org/np/RA2LLClhEwBctdcwo1dBrromcnjeCRoawvboD0KlMKXFo#NASAAmes_Format","http://purl.org/np/RA2LLClhEwBctdcwo1dBrromcnjeCRoawvboD0KlMKXFo#NASAAmes_Format","NASAAmes_Format","NASA Ames Format | The National Aeronautics and Space Administration Ames Format for Data Exchange","http://purl.org/np/RAMPdbiX_upJ-8tXJY_YwmAphSPc932dU6F7y8w9abxaM",2023-01-08T16:49:51.786Z
