fip_index,fip_title,decl_np,community,c,question,q,sort,nochoice,decl,rel,resource_id_used,startdate,enddate,date,supercommunities,sc
https://w3id.org/np/RAOuS1yyaDDe63PDaJLrDYfxBuSQ-N1srcuexCC7Bfx8Y,INDIGEO PNDB RSI UBO,https://w3id.org/np/RAZBSY0qEF2ier81oxI-KpfZzzFqP7Qtp9woYCpixP7OQ,http://purl.org/np/RA-Jj80AkhlsblERx3ADJ1v1891SUGNyOG5A8Zr0lUu10#indigeo,indigeo,https://w3id.org/fair/fip/terms/FIP-Question-F3,F3,03x,,https://w3id.org/np/RAZBSY0qEF2ier81oxI-KpfZzzFqP7Qtp9woYCpixP7OQ#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2022-09-29,2023-09-28,2024-01-22T19:43:32+00:00,http://purl.org/np/RA9GLc5qwnKHfaLwDtIwdzmTE7jFBoIWquFZ49tuFeUAM#eLTER-RI,eLTER-RI
https://w3id.org/np/RAPqsVHlUmqWMusGFX1M6psBiCe2QihhZCmBekxPw4S2E,Euro Argo FIP 2019,https://w3id.org/np/RAzGbv2f7tCb74PZjHDeoEPdy69EsS8vNMiYmPThv_qwM,http://purl.org/np/RA84m3skQV7YJg2crQjRHHoE6PaPkL1ew8GD0sa3tTj8g#ArgoGdac,ArgoGdac,https://w3id.org/fair/fip/terms/FIP-Question-F2,F2,02x,,https://w3id.org/np/RAzGbv2f7tCb74PZjHDeoEPdy69EsS8vNMiYmPThv_qwM#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAm-5N-Essj5oekn7Qd_KgooUYAk9Szk3bBK9R3jcGnlM#NetCDF_CF1.7,2019-01-01,2019-12-31,2024-01-22T20:06:51+00:00,,
https://w3id.org/np/RAHry79HFd12QPe_L8R1fwr7gkRB6riajLKUcYrH2nb6k,LifeWatch Ecosystems FIP 2022,https://w3id.org/np/RAZe4uDu9qnWytSO5F5lrt1lKMBMcxlykdS_vrR1mAb9A,http://purl.org/np/RA39vQmcuWBPujHO6TsvTZYPvj3KImUVGVc2HQ2xWQML8#LWERIC_Ecosystem,LWERIC_Ecosystem,https://w3id.org/fair/fip/terms/FIP-Question-I3-MD,I3-MD,I3-0Dx,,https://w3id.org/np/RAZe4uDu9qnWytSO5F5lrt1lKMBMcxlykdS_vrR1mAb9A#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAUxmZt_R6a9RGB_BxooKts20HhxSxkkTIQpKpGAMYxgY#LWERIC-MetadataCatalogue,2022-01-01,2022-12-31,2024-01-22T19:11:39+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAo60mGilzfDUD6L9YON-8YBcTHO6Z8oC2v9r0OEl4ZVs,DiSSCo FIP 2020,https://w3id.org/np/RAy-iGY0BrM2RUXPJnmYLLmXMYUO9Ah5d-vuui89yM3yA,http://purl.org/np/RAG16j7HyNPJeyKbUDm_GYBP6JqX8hL1R25b74qPJs3jg#DiSSCo,DiSSCo,https://w3id.org/fair/fip/terms/FIP-Question-F4-MD,F4-MD,04-0Dx,,https://w3id.org/np/RAy-iGY0BrM2RUXPJnmYLLmXMYUO9Ah5d-vuui89yM3yA#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAANOJAdT5AYQlA5SMsTOGb6aHjhyhd8o2nkSqX1UeWDU#GBIF_search_engine,2020-01-01,2020-12-31,2024-01-22T19:51:40+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RABqN0Tj_aHmx4Yzd1xtjRA2NGqwaRuvKZ6W3jEU6cED4,DANUBIUS FIP 2022,https://w3id.org/np/RAxYMUedno1Z84dSvPbmwBj9c5Nz0DWKRUQ4T9-9Bkx6Q,http://purl.org/np/RA2DSK-lZtvgsa-U8nifRqbg1eMjXShspatIff11LvCo8#DANUBIUS,DANUBIUS,https://w3id.org/fair/fip/terms/FIP-Question-F2,F2,02x,,https://w3id.org/np/RAxYMUedno1Z84dSvPbmwBj9c5Nz0DWKRUQ4T9-9Bkx6Q#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RAWhGD0MUVu3dngBK0eWdNIRWNRhOHkonTAlsIGV8y1v4#ISO_19115,2022-01-01,2022-12-30,2024-01-22T19:49:00+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RASIZZvVB9dJ2XXVZ5VEY_3WVkiF3CnBWqopheeurO91Y,EMSO ERIC FIP 2019 bm,https://w3id.org/np/RAZaxh7CvweIa_C3TP8NWbhNgR-f95iIPzEpqbsUccIbg,http://purl.org/np/RAigW2GWJ5T5odcCltjA6iWxKT-xIdvKE_aThDdgbcZzA#EMSO,EMSO,https://w3id.org/fair/fip/terms/FIP-Question-R1.1-MD,R1.1-MD,R1.1-0Dx,,https://w3id.org/np/RAZaxh7CvweIa_C3TP8NWbhNgR-f95iIPzEpqbsUccIbg#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAQ__sGdY_Qc7l1O_zmn4nr-pMBOxKU04Ur9s998rS6Fc#CC-BY-4.0,2019-01-01,2019-12-31,2024-01-22T18:19:50+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RA7xeIi3_d4tZ0Zcb2uL98ZkmF85ZGjxhwQzV-s_x61m0,LifeWatch Ecosystems FIP 2021,https://w3id.org/np/RAZrbrj5GlT84LlrjRRE-qrcg3Kq9z8FkywzUkDYYQyV0,http://purl.org/np/RA39vQmcuWBPujHO6TsvTZYPvj3KImUVGVc2HQ2xWQML8#LWERIC_Ecosystem,LWERIC_Ecosystem,https://w3id.org/fair/fip/terms/FIP-Question-I2-D,I2-D,I2-Dx,,https://w3id.org/np/RAZrbrj5GlT84LlrjRRE-qrcg3Kq9z8FkywzUkDYYQyV0#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RALHHVzgBKGrMb6UuPRLBzEAbzKN8UR_zw86xaWZq46KI#FISHTRAITS,2021-01-01,2021-12-31,2024-01-22T19:37:39+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAYdY-eJh0gFZIbpmBvgBwl-tYhkwZMJYdAw5WUW4s7e4,eLTER FIP 2021,https://w3id.org/np/RAXqmURwpgjlC9CJlJFdlZ0J3sJH3o1TF0ncdvFtcIfTY,http://purl.org/np/RA9GLc5qwnKHfaLwDtIwdzmTE7jFBoIWquFZ49tuFeUAM#eLTER-RI,eLTER-RI,https://w3id.org/fair/fip/terms/FIP-Question-R1.1-D,R1.1-D,R1.1-Dx,,https://w3id.org/np/RAXqmURwpgjlC9CJlJFdlZ0J3sJH3o1TF0ncdvFtcIfTY#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RANw_e-9CEfADSpQKbEVn5G7qu_jczqdJUNssOzYXEvfA#CC-BY-NC-4.0,2021-01-01,2021-12-31,2024-01-22T19:05:29+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RA0OXgMZr3bBJwAoHwJUjYIIgkvSmFp080vt83dlquRhg,ACTRIS ARES FIP 2022,https://w3id.org/np/RAxNdlXZ4CjccwrUsvq14zRNFG2NsM8PanWtIl7y24yfs,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,https://w3id.org/fair/fip/terms/FIP-Question-F4-D,F4-D,04-Dx,,https://w3id.org/np/RAxNdlXZ4CjccwrUsvq14zRNFG2NsM8PanWtIl7y24yfs#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAGv90JSxsBhhVhdJq_6CtOrHCLBbAuMLdkhES3dkog8o#r3data,2022-01-01,2022-12-31,2024-01-22T19:44:50+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAo60mGilzfDUD6L9YON-8YBcTHO6Z8oC2v9r0OEl4ZVs,DiSSCo FIP 2020,https://w3id.org/np/RAY4u8HCFyzfz4AHoLt2-CHkW682_4aKo6Imz6UcY0BKY,http://purl.org/np/RAG16j7HyNPJeyKbUDm_GYBP6JqX8hL1R25b74qPJs3jg#DiSSCo,DiSSCo,https://w3id.org/fair/fip/terms/FIP-Question-R1.2-MD,R1.2-MD,R1.2-0Dx,,https://w3id.org/np/RAY4u8HCFyzfz4AHoLt2-CHkW682_4aKo6Imz6UcY0BKY#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,2020-01-01,2020-12-31,2024-01-22T19:51:40+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAjNRXfB9s8xGvnwPh2ei84HctgSsvduTTPy8xb8s5d3A,ACTRIS CLU FIP 2021,https://w3id.org/np/RAY-c_CDWBZ8Chw4dSyRjQZxcS2sDf7D-v2lqBF_BW7Oo,http://purl.org/np/RAhtZUfiw2puxceEOXsLhh1eIlFWYvB_j0APDSxt_1Ypk#ACTRIS_CLU,ACTRIS_CLU,https://w3id.org/fair/fip/terms/FIP-Question-F3,F3,03x,,https://w3id.org/np/RAY-c_CDWBZ8Chw4dSyRjQZxcS2sDf7D-v2lqBF_BW7Oo#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,2021-01-01,2021-12-31,2024-01-22T18:59:23+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RA-cyxyxDDrTqbIw5Aqo4nJ9mkzNR45DV1CXSMnXtcLm4,ACTRIS-ASC_FIP_2022,https://w3id.org/np/RAZ5cmaJA_TEYJN8pK2fPBnwlEW6RT7yWIbkrfFoX5H5g,http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC,ACTRIS-ASC,https://w3id.org/fair/fip/terms/FIP-Question-R1.2-D,R1.2-D,R1.2-Dx,,https://w3id.org/np/RAZ5cmaJA_TEYJN8pK2fPBnwlEW6RT7yWIbkrfFoX5H5g#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,2022-01-01,2022-12-31,2024-01-22T19:36:33+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RADmGXwxEWiBr2WhCFYAmejf1uNaQEHdNWnTFVOR0zJDs,ACTRIS ARES FIP 2021,https://w3id.org/np/RAy8XVLB4cfe3rgYG9sQMLLuX836inmXk1sYpHdceBDt0,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,https://w3id.org/fair/fip/terms/FIP-Question-A1.1-MD,A1.1-MD,A1.1-0Dx,,https://w3id.org/np/RAy8XVLB4cfe3rgYG9sQMLLuX836inmXk1sYpHdceBDt0#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAszH6lU-Zc3UO7MHPKj1Lb0dmMmaTJrRvQ0jqpXMyFY4#REST,2021-01-01,2021-12-31,2024-01-22T19:46:10+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAgAjrbl7MaCyL-73Hhmnwsq2N6pDJJsqEEhLlL0EuwPI,SeaDataNET CDI FIP 2021,https://w3id.org/np/RAY-4GYKucMYQktfTnPepaOPSbl1r3_I5bSqBzwaXPzg4,http://purl.org/np/RAge5lgbVKMXb0zu5CUpFaCiwg7lUXa_5QGhRw68zaq2g#SeaDataNet-CDI,SeaDataNet-CDI,https://w3id.org/fair/fip/terms/FIP-Question-A1.1-D,A1.1-D,A1.1-Dx,,https://w3id.org/np/RAY-4GYKucMYQktfTnPepaOPSbl1r3_I5bSqBzwaXPzg4#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,2021-01-01,2021-12-31,2024-01-22T19:04:13+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RApNHXTH5FnNzMXM1cO0UW7Py_WSMU2dim2Tyk9owH2tw,ICOS FIP 2019,https://w3id.org/np/RAxWFSJAdyWStIXrNla7ZFPXhumWFYHOdRF215aye5_Wc,http://purl.org/np/RA3ztnxJk-Ct8T9T8HIxuMbEv4KvkQLUL1J-SQm-vg-po#ICOS,ICOS,https://w3id.org/fair/fip/terms/FIP-Question-A1.1-D,A1.1-D,A1.1-Dx,,https://w3id.org/np/RAxWFSJAdyWStIXrNla7ZFPXhumWFYHOdRF215aye5_Wc#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,2019-01-01,2019-12-31,2024-01-21T13:03:32+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAy7sLfjwWIrIFc23TThGMAU6xq_12gEUMry0iqVXk0iI,EPOS ICS C FIP 2021,https://w3id.org/np/RAXJFcXDMcONhFO3fYK4GECX8xvKps4XJoRErtCkm1yZc,http://purl.org/np/RAFwKMWo-TYDJTfluPaKERvMa5tYNxDgni6mWSXZEt_PA#EPOS-ERIC,EPOS-ERIC,https://w3id.org/fair/fip/terms/FIP-Question-R1.1-MD,R1.1-MD,R1.1-0Dx,,https://w3id.org/np/RAXJFcXDMcONhFO3fYK4GECX8xvKps4XJoRErtCkm1yZc#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAQ__sGdY_Qc7l1O_zmn4nr-pMBOxKU04Ur9s998rS6Fc#CC-BY-4.0,2021-01-01,2021-12-31,2024-01-22T19:15:08+00:00,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI
https://w3id.org/np/RAXDP3bJsx38J_dhUhU3s3Rhyv-Nq6-ib-Wh25K5_w2l0,WorldFAIR WP11 Oceanography,https://w3id.org/np/RA38Ch4QaT8BTlkzzFYRSePQTI0tAzD4eelZefx8TBUlo,https://w3id.org/np/RADmLak8t8R6eSW3nXxF4BnPSUJDPJeU7wnIJHbYQA1-A#WF-Oceanography,WF-Oceanography,https://w3id.org/fair/fip/terms/FIP-Question-F1-D,F1-D,01-Dx,,https://w3id.org/np/RA38Ch4QaT8BTlkzzFYRSePQTI0tAzD4eelZefx8TBUlo#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2022-06-01,2024-05-31,2024-04-03T15:39:21+00:00,,
https://w3id.org/np/RAXDP3bJsx38J_dhUhU3s3Rhyv-Nq6-ib-Wh25K5_w2l0,WorldFAIR WP11 Oceanography,https://w3id.org/np/RA39NSCsRny-c9nbiRVF57CzylqGXk46D3X1sxZAHjDSI,https://w3id.org/np/RADmLak8t8R6eSW3nXxF4BnPSUJDPJeU7wnIJHbYQA1-A#WF-Oceanography,WF-Oceanography,https://w3id.org/fair/fip/terms/FIP-Question-R1.2-D,R1.2-D,R1.2-Dx,,https://w3id.org/np/RA39NSCsRny-c9nbiRVF57CzylqGXk46D3X1sxZAHjDSI#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,2022-06-01,2024-05-31,2024-04-03T15:39:21+00:00,,
